Fecha,Riesgo,Precios,Crédito,Expectativas,Desempeño,FCI
2005-08-01,0.04806580015275874,-0.05225091701949634,-0.1264669067912013,-0.03182484671685742,-0.231702898077769,-0.3941797684525654
2005-09-01,0.04438498352679447,-0.05130985791171205,-0.12210510085294736,-0.031180301740043236,-0.222517403647459,-0.3827276806253671
2005-10-01,0.04242078279298943,-0.05212039775189824,-0.12202594100924226,-0.031614557411836136,-0.22114421790619898,-0.3844843312861862
2005-11-01,0.04197170312021897,-0.05487266967878405,-0.12656227934795672,-0.033252337512188236,-0.22799313469758498,-0.40070871811629494
2005-12-01,0.042404319029264476,-0.05918035220430774,-0.13475988567357097,-0.035858942405790135,-0.241238414171803,-0.4286332754262073
2006-01-01,0.042050309946386824,-0.06264957945296781,-0.14107055176477712,-0.03797892298090076,-0.251073310465582,-0.4507220547178408
2006-02-01,0.040667014073894614,-0.06447938643916436,-0.1440362780703015,-0.03916683410489129,-0.25495081218038596,-0.4619662967208485
2006-03-01,0.04114570152357505,-0.06939028030903659,-0.15396752869489355,-0.04226451800385626,-0.271209112097566,-0.49568573758177736
2006-04-01,0.05152491329716266,-0.09252854546000774,-0.2042058444830888,-0.05654540842913461,-0.35800149440407,-0.6597563794791385
2006-05-01,0.056231010385108665,-0.10311584584119496,-0.22698544319099528,-0.06334500784967016,-0.396656523195488,-0.7338718096922399
2006-06-01,0.05945505603322568,-0.1116326752875989,-0.24510320389565982,-0.06897762276051266,-0.427443767329693,-0.7937022132402387
2006-07-01,0.05693382536227143,-0.1108442423425797,-0.2425268785366982,-0.06880017305764945,-0.422605101648789,-0.787842570223445
2006-08-01,0.051466323361202604,-0.10393550582271552,-0.22656366929684818,-0.06476890315627308,-0.394678217700299,-0.7384799726149329
2006-09-01,0.045150898219368754,-0.09509487194668836,-0.20650587384636457,-0.05948487312702354,-0.359787274833341,-0.6757219955340485
2006-10-01,0.04394139688095686,-0.09659850617736923,-0.2089989898811115,-0.06066686408709747,-0.36418422877713796,-0.6865071920417596
2006-11-01,0.038119219855319963,-0.08769961559409949,-0.18905201374161187,-0.05530274054241715,-0.329474990882078,-0.6234101409048866
2006-12-01,0.034832385998745954,-0.08338250593644222,-0.17910267537436678,-0.05280517754996173,-0.31216405710891204,-0.5926220299709368
2007-01-01,0.02985728438609689,-0.07472013007050946,-0.15989925222348578,-0.047469746140758794,-0.27878961032496696,-0.5310214543736241
2007-02-01,0.029212226169168937,-0.0766451643073778,-0.16329903602452553,-0.048801387397263425,-0.28484461606287503,-0.5443779776228729
2007-03-01,0.02693225582761921,-0.07418665391756982,-0.15734164744343998,-0.047328813977506955,-0.274657401640659,-0.5265822611515566
